industry_id,num_firms,dividends,buybacks,equity_issuance,net_equity_change_usd,net_equity_change_pct_book_equity,debt_repaid,debt_raised,net_debt_change_usd,net_debt_change_pct_total_debt,change_in_lease_debt,vintage_id,region_id
58,19,2767.8,3424.5899999999997,376.35999999999996,-3048.2299999999996,-0.07525489313698026,22415.330000000005,24348.39,1933.059999999994,0.031973865938882594,-253.9599999999955,1,1
59,6,1261.0,231.3,0.0,-231.3,-0.042781045388969034,1569.7,1694.9,125.20000000000005,0.03626777903305236,-50.39999999999998,1,1
60,46,27437.156000000006,4618.410000000001,10989.31,6370.899999999999,0.015822740797035585,85924.07999999999,146376.38999999998,60452.31,0.077243201564278,-7658.360000000015,1,1
61,56,2610.8014999999996,2708.835,1405.9500000000003,-1302.8849999999998,-0.029524359338499895,5562.26,2146.269,-3415.9910000000004,-0.22356291241199555,1561.1150000000016,1,1
62,19,454.2020000000001,581.005,10.455,-570.55,-0.04012510904212,5384.961,4931.630000000001,-453.3309999999992,-0.06825873969827262,-43.18000000000029,1,1
63,190,54420.04350000001,5494.454,38312.09200000001,32817.63800000001,0.059204130149345675,14504496.748000003,14572888.37000001,68391.62200000696,0.06839240837591849,14.92000000000553,1,1
64,14,0.0,12.85,866.7679999999999,853.9179999999999,0.1660763970330539,1709.435,1844.4179999999997,134.98299999999972,0.020450999823796192,5.616,1,1
65,12,62.900000000000006,32.177,0.28,-31.897,-0.014722824832679436,643.36,648.5999999999999,5.239999999999895,0.002216113343201478,16.299999999999955,1,1
66,54,360.13,2493.9059999999995,1120.775,-1373.1309999999994,-0.034072697400434206,34168.93899999999,33170.327999999994,-998.6109999999971,-0.035148035093022195,-8.802000000001499,1,1
67,49,1148.6999999999996,1959.526,337.83899999999994,-1621.6870000000001,-0.07944535265211063,12805.016999999998,12573.211999999998,-231.8050000000003,-0.007104265256141863,568.9939999999933,1,1
68,1,237.0,114.0,4.0,-110.0,-0.00988586321560169,28.0,691.0,663.0,0.11562608998953611,0.0,1,1
69,64,11348.427999999998,7238.583000000001,1319.803,-5918.780000000002,-3.6894443312033625,19272.074,24239.345999999998,4967.271999999997,0.04169940230491798,5821.60000000002,1,1
70,34,644.6489999999999,7012.8640000000005,2212.4360000000006,-4800.428,-0.1735550301163438,78343.32,81804.14000000001,3460.820000000007,0.036284675369989854,2434.3800000000047,1,1
71,14,12039.951,2395.2400000000002,676.0,-1719.2400000000002,0.2905986951083466,8711.471,13052.7,4341.229000000001,0.042123929612792745,4308.299999999996,1,1
72,62,5012.065000000001,5819.185,4479.820999999999,-1339.3640000000014,-0.017221676488733677,49674.145000000004,56973.066999999995,7298.921999999991,0.08235916356362775,4132.284000000007,1,1
73,23,13006.525,16790.000000000004,340.95,-16449.050000000003,-0.038637364432860345,40058.99999999999,38545.299999999996,-1513.699999999997,-0.00815261795605351,19628.199999999953,1,1
74,15,1367.2,7667.050000000001,219.032,-7448.018000000001,-0.26303696776462915,6636.7300000000005,1749.9099999999999,-4886.820000000001,-0.16393795690960036,535.1499999999978,1,1
75,26,9864.233999999997,299.955,6106.581000000001,5806.626000000001,0.06047970252943721,60612.43000000001,64463.3,3850.8699999999953,0.033722233606377876,10.166000000000622,1,1
76,94,4703.787,8781.003999999997,851.2309999999998,-7929.772999999997,-0.1519671629612957,13004.919,16723.042999999998,3718.123999999998,0.11166672648255684,4250.830000000089,1,1
77,3,0.0,0.0,3.63,3.63,0.0007602890355010996,19643.317,18640.13,-1003.1869999999981,-0.12448509013621542,195.5999999999999,1,1
78,66,25363.1,81248.97400000003,9195.343999999997,-72053.63000000003,-0.14605998856877186,66016.254,56418.047999999995,-9598.206000000006,-0.04924359879662067,200.35400000000482,1,1
79,31,3803.6,12289.936999999998,755.4590000000002,-11534.477999999997,-0.21001214247387834,4836.097,5648.960999999999,812.8639999999996,0.025635301269128167,-152.8999999999969,1,1
80,8,106.30000000000001,568.39,8.44,-559.9499999999999,-0.07843722290627454,213.00900000000004,331.147,118.13799999999995,0.060380463670932624,59.930000000000064,1,1
81,11,2475.4700000000003,2299.3239999999996,461.256,-1838.0679999999998,-0.09396355085243975,2531.4,1643.3999999999999,-888.0000000000002,-0.08493543758967005,378.5400000000009,1,1
82,77,15397.205999999998,106052.13000000002,2868.7419999999997,-103183.38800000002,-0.20397285269381613,38598.861000000004,50962.71200000001,12363.851000000002,0.16049116548053563,5390.1500000000015,1,1
83,29,142.758,6727.737,2586.5139999999997,-4141.223,-0.17953823483749892,9099.756,19303.834,10204.078,0.3043262127787042,2883.119999999997,1,1
84,309,34027.14220000002,63893.126999999986,56925.771999999975,-6967.3550000000105,-0.01272896797858109,36175.08600000002,85104.66699999996,48929.58099999994,0.1430110391847462,17166.589999999982,1,1
85,19,1355.8449999999998,2745.7459999999996,194.207,-2551.5389999999998,-0.04504629024797589,9415.26,14278.300000000001,4863.040000000001,0.20554341334512288,284.6900000000005,1,1
86,12,6032.2,12833.343000000003,1.816,-12831.527000000002,-0.17577058627240297,10710.019999999999,9667.98,-1042.039999999999,-0.011210121563722657,-2548.117999999995,1,1
87,57,7331.743,10734.254,1958.8919999999998,-8775.362000000001,-0.123811511430555,31680.478,26975.442999999996,-4705.0350000000035,-0.0800491724542384,682.7499999999982,1,1
88,39,19576.644,3958.58,1866.001,-2092.5789999999997,-0.010100546480477382,38519.99199999999,41878.71800000001,3358.726000000017,0.009884924384165963,2884.0280000000057,1,1
89,10,15432.85,1027.97,115.988,-911.982,0.08014824202083018,10429.240000000002,11305.11,875.869999999999,0.010985755681569878,223.11000000000013,1,1
90,19,7282.200000000001,9955.628,740.135,-9215.493,-0.13482115551598087,42657.462,46135.422999999995,3477.9609999999957,0.03231158940892629,2836.873000000036,1,1
91,4,5419.8,6196.0,14.69,-6181.31,-0.14154331956364435,2762.4,4783.8,2021.4,0.027888149399026525,-151.5,1,1
