industry_id,num_firms,dataset_code,vintage_id,region_id
35,78,dividends_fcfe,1,1
36,13,dividends_fcfe,1,1
37,27,dividends_fcfe,1,1
38,15,dividends_fcfe,1,1
40,204,dividends_fcfe,1,1
41,104,dividends_fcfe,1,1
39,115,dividends_fcfe,1,1
42,30,dividends_fcfe,1,1
43,31,dividends_fcfe,1,1
44,63,dividends_fcfe,1,1
45,110,dividends_fcfe,1,1
46,15,dividends_fcfe,1,1
47,21,dividends_fcfe,1,1
48,20,dividends_fcfe,1,1
49,57,dividends_fcfe,1,1
50,283,dividends_fcfe,1,1
51,105,dividends_fcfe,1,1
52,73,dividends_fcfe,1,1
53,14,dividends_fcfe,1,1
54,4,dividends_fcfe,1,1
55,142,dividends_fcfe,1,1
56,23,dividends_fcfe,1,1
57,97,dividends_fcfe,1,1
58,19,dividends_fcfe,1,1
59,6,dividends_fcfe,1,1
60,46,dividends_fcfe,1,1
61,56,dividends_fcfe,1,1
62,19,dividends_fcfe,1,1
63,190,dividends_fcfe,1,1
64,14,dividends_fcfe,1,1
65,12,dividends_fcfe,1,1
66,54,dividends_fcfe,1,1
67,49,dividends_fcfe,1,1
68,1,dividends_fcfe,1,1
69,64,dividends_fcfe,1,1
70,34,dividends_fcfe,1,1
71,14,dividends_fcfe,1,1
72,62,dividends_fcfe,1,1
73,23,dividends_fcfe,1,1
74,15,dividends_fcfe,1,1
75,26,dividends_fcfe,1,1
76,94,dividends_fcfe,1,1
77,3,dividends_fcfe,1,1
78,66,dividends_fcfe,1,1
79,31,dividends_fcfe,1,1
80,8,dividends_fcfe,1,1
81,11,dividends_fcfe,1,1
82,77,dividends_fcfe,1,1
83,29,dividends_fcfe,1,1
84,309,dividends_fcfe,1,1
85,19,dividends_fcfe,1,1
86,12,dividends_fcfe,1,1
87,57,dividends_fcfe,1,1
88,39,dividends_fcfe,1,1
89,10,dividends_fcfe,1,1
90,19,dividends_fcfe,1,1
91,4,dividends_fcfe,1,1
92,26,dividends_fcfe,1,1
93,14,dividends_fcfe,1,1
94,14,dividends_fcfe,1,1
1,52,growth_eb,1,1
2,79,growth_eb,1,1
3,23,growth_eb,1,1
4,35,growth_eb,1,1
5,33,growth_eb,1,1
6,35,growth_eb,1,1
7,15,growth_eb,1,1
8,568,growth_eb,1,1
9,14,growth_eb,1,1
10,27,growth_eb,1,1
11,24,growth_eb,1,1
12,32,growth_eb,1,1
13,41,growth_eb,1,1
14,155,growth_eb,1,1
15,9,growth_eb,1,1
16,29,growth_eb,1,1
17,4,growth_eb,1,1
18,59,growth_eb,1,1
19,16,growth_eb,1,1
20,64,growth_eb,1,1
21,36,growth_eb,1,1
22,40,growth_eb,1,1
23,20,growth_eb,1,1
24,496,growth_eb,1,1
25,228,growth_eb,1,1
26,32,growth_eb,1,1
27,112,growth_eb,1,1
28,8,growth_eb,1,1
29,114,growth_eb,1,1
30,48,growth_eb,1,1
31,92,growth_eb,1,1
32,53,growth_eb,1,1
33,35,growth_eb,1,1
34,176,growth_eb,1,1
35,78,growth_eb,1,1
36,13,growth_eb,1,1
37,27,growth_eb,1,1
38,15,growth_eb,1,1
40,204,growth_eb,1,1
41,104,growth_eb,1,1
39,115,growth_eb,1,1
42,30,growth_eb,1,1
43,31,growth_eb,1,1
44,63,growth_eb,1,1
45,110,growth_eb,1,1
46,15,growth_eb,1,1
47,21,growth_eb,1,1
48,20,growth_eb,1,1
49,57,growth_eb,1,1
50,283,growth_eb,1,1
51,105,growth_eb,1,1
52,73,growth_eb,1,1
53,14,growth_eb,1,1
54,4,growth_eb,1,1
55,142,growth_eb,1,1
56,23,growth_eb,1,1
57,97,growth_eb,1,1
58,19,growth_eb,1,1
59,6,growth_eb,1,1
60,46,growth_eb,1,1
61,56,growth_eb,1,1
62,19,growth_eb,1,1
63,190,growth_eb,1,1
64,14,growth_eb,1,1
65,12,growth_eb,1,1
66,54,growth_eb,1,1
67,49,growth_eb,1,1
68,1,growth_eb,1,1
69,64,growth_eb,1,1
70,34,growth_eb,1,1
71,14,growth_eb,1,1
72,62,growth_eb,1,1
73,23,growth_eb,1,1
74,15,growth_eb,1,1
75,26,growth_eb,1,1
76,94,growth_eb,1,1
77,3,growth_eb,1,1
78,66,growth_eb,1,1
79,31,growth_eb,1,1
80,8,growth_eb,1,1
81,11,growth_eb,1,1
82,77,growth_eb,1,1
83,29,growth_eb,1,1
84,309,growth_eb,1,1
85,19,growth_eb,1,1
86,12,growth_eb,1,1
87,57,growth_eb,1,1
88,39,growth_eb,1,1
89,10,growth_eb,1,1
90,19,growth_eb,1,1
91,4,growth_eb,1,1
92,26,growth_eb,1,1
93,14,growth_eb,1,1
94,14,growth_eb,1,1
